"Participant.ID","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010"
"N0724",0.7857143,0.5666667,0.4705882,0.4210526,0.1578947,0,0,8.7e-14,0,0.05,0.1
"N0757",0.8888889,0.9,1,0.7142857,0.2857143,0.2222222,0,0,0,0,0
"N0766",0.9,0.8181818,0.7142857,0.875,0.2222222,5.33e-13,0,0.0769231,0,0,0
"N0779",0.4,0.3636364,0.625,0.4444444,0.1111111,0.1111111,0,0,0,0,0
"N0781",0.4,0.3636364,0.625,0.5555555,0.1111111,0.1111111,0,0,0,0,0
"N0782",0.4,0.3636364,0.625,0.5555555,0.1111111,1.15e-14,0,0,0,0,0
"N0787",0.4,0.3636364,0.75,0.4444444,0.1111111,0.1111111,0,0,0,0,0
"N0791",0.8888889,0.8,0.4,0.8,0.2857143,4.6e-13,0,0,7.8e-13,0,0
"N0800",0.5,0.7,1,1,1,1,0,0,1,0,0
"N0802",0.4,0.7,1,0.5,3.71e-12,1,0,0,0,0,0
"N0829",0.8888889,0.9,1,0.7142857,0.2857143,0.2222222,0,0,0,0,0
"N0830",0.9,0.8181818,0.7142857,0.875,0.1111111,5.33e-13,0,0.0769231,0,0,0
"N0833",0.9090909,0.4615384,4.12e-13,3.57e-13,1.77e-13,1.69e-13,0,0,6.76e-14,0,0
"N0834",0.7826087,0.8749999,0.6153846,0.9230769,6.56e-15,0.0625,5.47e-15,3.4e-15,0,0,0.0555556
"N0835",0.7826087,0.8749999,0.6153846,0.9230769,6.56e-15,0.0625,5.47e-15,3.4e-15,0,0,0.0555556
"N0837",0.375,0.3888889,0.3,0.2,1.08e-15,0,0,0.0714286,0,0,9.39e-16
"N0840",0.7857143,0.5666667,0.5294117,0.4736842,0.1578947,0,0,8.7e-14,0,0.05,0.05
"N0841",0.6129032,0.4,0.1111111,0.2,0.0714286,0,0,0,0,0,0
"N0843",0.375,0.4444444,0.2,0.2,1.08e-15,0,0,0.0714286,0,0,9.39e-16
"N0845",0.75,0.5666667,0.5294117,0.4736842,0.1578947,0,0,8.7e-14,0,0.05,0.1
"N0848",0.8888889,0.8,0.4,0.8,0.2857143,4.6e-13,0,0,7.8e-13,0,0
"N0852",0.5909091,0.5909091,0.4545454,0.6666666,0.25,0.0833333,0.1538462,2.09e-13,9.3e-14,0,0
"N0858",0.75,0.5333333,0.5294117,0.4736842,0.1578947,0,0,8.7e-14,0,0.05,0.1
"N0861",0.9,0.8181818,0.7142857,0.875,0.2222222,5.33e-13,0,0.0769231,0,0,0
"N0862",0.3333333,0.6666666,0.5,0.4285714,0.25,4.78e-15,0,0,0,0,0
"N0866",0.6363636,0.5909091,0.4545454,0.6666666,0.3333333,0.0833333,0.1538462,2.09e-13,9.3e-14,0,0
"N0871",0.875,0.8148148,0.625,0.5,0.375,0,0,0,0,0,0
"N0873",0.6875,0.5625,1,1,8.8e-14,0,0,0,0,2.93e-14,5.87e-14
"N0876",0.7857143,0.5333333,0.4705882,0.4736842,0.1578947,0,0,8.7e-14,0,0.05,0.1
"N0878",0.6363636,0.5909091,0.3636364,0.6666666,0.3333333,0.0833333,0.1538462,2.09e-13,9.3e-14,0,0
"N0879",0.3333333,0.4166667,9.9e-14,0.4,0.2727273,0,0.0714286,0,0.0769231,0,0.0714286
"N0880",0.6129032,0.4,0.1666667,0.2,0.0714286,0,0,0,0,0,0
"N0881",1,0.8333333,1,0.6666666,0,1,0,0.1728838,0,0,0
"N0884",0.3333333,0.4210526,0.4285714,0.4285714,0,0,0,8.28e-15,0,0,0.1428571
"N0885",0.75,0.375,1,0.4,0.1666667,1.93e-13,0,0.2857143,0,1.65e-13,3.31e-13
"N0886",1,0.8181818,0.7142857,0.875,0.1111111,5.33e-13,0,0.0769231,0,0,0
"N0892",0.625,0.5,1,0.4,0.1666667,1.93e-13,0,0.2857143,0,1.65e-13,3.31e-13
"N0894",0.25,0.5,1,0.5,1.92e-14,1.92e-14,0,0,0,0,0
"N0895",0.9428571,0.8648648,1,1,0.4166667,0.1538461,0,2.8e-15,0,0.3529412,0.0588235
"N0897",0.7272727,0.72,0.5714286,0.5333333,0.0555556,0.0555556,0.0526316,0,0,0,0.037037
"N0898",0.3241501,0.4040523,0.0067614,0.4520278,0.2487301,0,0.0663955,0,0.0711173,0,0.0663955
"N0909",1,0.9,1,0.7142857,0.1428571,0.2222222,0,0,0,0,0
"N0910",0.6666667,0.6,0.6,0.6,0.3333333,1.01e-13,0,0,0,3.04e-13,5.06e-14
"N0911",0.7272727,0.76,0.5,0.4666666,0.0555556,0.0555556,0.0526316,0,0,0,0.037037
"N0913",0.6,0.3333333,2.08e-12,1,8.12e-13,2.83e-13,1.41e-13,0.5,4.76e-14,0,0
"N0914",0.7727273,0.826087,0.6,0.9090909,0.0833333,0.0714286,1.63e-13,1.7e-13,0.0625,0,0
